日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20171229,       1123,       1127,       1117,     1123.5,     1126.1,    1101.08,    1101.96,  1124.2449,        7753300,        7559500,       11462064
20171228,     1127.5,     1129.5,       1123,     1124.5,     1125.5,    1099.24,    1101.64,  1126.5624,        7170000,        8233640,       11654724
20171227,       1127,       1129,       1124,       1127,       1124,     1097.1,    1101.18,  1126.5817,        8038300,        9061260,       11991212
20171226,     1129.5,       1130,       1126,     1127.5,     1120.9,    1094.88,    1100.72,  1128.0383,        6505300,        9674640,       12090952
20171225,     1125.5,       1129,       1125,       1128,     1116.9,    1092.48,    1100.16,  1127.6941,        8330600,       10515920,       12322092
20171222,       1119,       1124,     1117.5,     1120.5,     1111.6,    1090.16,    1099.69,  1121.1135,       11124000,       10967540,       12830908
20171221,       1113,       1119,       1112,       1117,     1106.8,    1087.92,    1099.31,   1116.447,       11308100,       11203240,       13195232
20171220,       1104,       1112,     1102.5,     1111.5,     1103.3,    1086.12,    1099.03,   1108.791,       11105200,       10754720,       13848656
20171219,       1105,     1109.5,       1104,     1107.5,     1101.9,     1085.1,    1098.78,  1107.4557,       10711700,       10863900,       14029204
20171218,     1098.5,       1103,       1094,     1101.5,     1100.5,     1084.1,    1098.52,  1099.3675,       10588700,       11207020,       14285452
20171215,       1097,       1098,     1090.5,     1096.5,     1098.9,    1083.76,     1098.3,  1095.1697,       12302500,       11170300,       14522140
20171214,       1101,     1101.5,       1095,     1099.5,     1096.7,    1083.74,     1098.1,  1098.1647,        9065500,       12154080,       15631404
20171213,       1105,     1106.5,       1101,     1104.5,     1092.6,     1084.5,    1097.87,  1104.0287,       11651100,       13324180,       16649960
20171212,       1094,       1102,     1090.5,     1100.5,     1088.5,    1084.76,    1097.58,  1098.0124,       12427300,       13939700,       16837720
20171211,       1085,       1094,     1084.5,     1093.5,     1086.6,    1085.08,    1097.44,  1090.3312,       10405100,       14096840,       17084880
20171208,       1079,     1086.5,     1076.5,     1085.5,     1086.1,     1085.8,    1097.42,  1081.1837,       17221400,       14397740,       17184612
20171207,       1090,       1090,       1077,       1079,     1086.8,    1086.74,    1097.54,  1082.2974,       14916000,       13566960,       17151400
20171206,       1089,       1091,       1082,       1084,     1088.6,    1087.52,     1097.8,  1086.2368,       14728700,       13954100,       17069808
20171205,     1090.5,       1095,       1089,       1091,     1088.6,    1088.48,    1098.06,  1091.8016,       13213000,       13781420,       17170952
20171204,     1090.5,     1094.5,     1087.5,       1091,     1085.6,     1088.9,     1098.3,  1091.6362,       11909600,       13311280,       17453912
