日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20191230,     1452.5,     1468.5,       1451,     1459.5,     1440.6,    1460.08,     1488.1,  1460.1789,        6410300,        7178100,        7374412
20191227,     1442.5,     1457.5,       1433,       1455,     1434.5,    1461.62,    1488.64,  1447.2104,        8588200,        7335620,        7276916
20191226,       1428,     1435.5,       1424,     1434.5,     1433.3,    1463.44,    1489.24,  1430.5925,        6081200,        8516380,        7133880
20191225,     1427.5,       1434,       1425,     1429.5,     1433.5,       1466,     1490.2,  1430.0541,        5108100,        8745060,        7143204
20191224,       1427,     1428.5,     1412.5,     1424.5,     1436.1,     1468.1,    1491.14,  1420.2224,        9702700,        9042080,        7215504
20191223,     1449.5,     1450.5,       1429,       1429,     1439.5,    1470.88,     1492.1,   1436.034,        7197900,        9010480,        7007384
20191220,       1435,       1449,     1426.5,       1449,     1443.9,    1473.84,    1492.97,  1438.2515,       14492000,        8655480,        6942876
20191219,       1442,       1446,       1434,     1435.5,     1444.5,     1476.2,    1493.52,  1438.0257,        7224600,        7675180,        6705824
20191218,       1439,       1446,     1436.5,     1442.5,     1448.4,    1479.14,    1494.22,  1442.0754,        6593200,        7418780,        7424608
20191217,     1450.5,       1453,       1436,     1441.5,     1450.7,    1480.68,    1494.92,  1443.2929,        9544700,        7293860,        7342408
20191216,     1450.5,     1453.5,       1448,       1451,     1453.6,    1482.38,    1495.76,  1450.8068,        5422900,        6645340,        7218592
20191213,       1451,     1458.5,     1450.5,       1452,     1457.2,    1484.06,    1496.48,  1453.3886,        9590500,        6963160,        7209548
20191212,       1455,       1459,     1451.5,       1455,     1458.8,    1485.54,    1497.35,  1454.4614,        5942600,        6738840,        7194468
20191211,     1459.5,       1463,     1451.5,       1454,     1463.4,    1486.76,    1498.19,  1455.1297,        5968600,        6754780,        7575204
20191210,     1467.5,     1471.5,       1456,       1456,     1468.8,    1488.82,    1498.88,  1461.6549,        6302100,        7062460,        7762456
20191209,       1470,     1471.5,     1461.5,       1469,     1473.6,    1490.54,    1499.55,  1467.1942,        7012000,        6817600,        7835032
20191206,       1482,       1484,       1460,       1460,     1476.5,    1491.82,    1499.97,  1467.6408,        8468900,        6431220,        7832796
20191205,       1485,     1486.5,       1477,       1478,     1481.7,    1492.82,    1500.52,  1480.0236,        6022300,        5935000,        7807016
20191204,       1478,       1484,     1476.5,       1481,       1485,    1493.82,    1500.75,   1479.812,        7507000,        5663340,        8262820
20191203,       1483,       1484,       1480,       1480,     1488.6,    1494.32,    1500.96,  1481.4331,        5077800,        5164160,        8229872
20191202,       1486,     1493.5,     1483.5,     1483.5,     1493.1,    1494.32,    1501.22,  1486.3922,        5080100,        7220540,        8234820
20191129,       1493,       1494,     1485.5,       1486,       1496,    1493.98,    1501.37,  1488.4976,        5987800,        6999100,        8302120
20191128,       1496,     1496.5,       1488,     1494.5,     1498.9,    1494.14,    1501.45,  1493.1426,        4664000,        6804000,        8287684
20191127,       1501,       1502,       1493,       1499,     1499.7,    1494.12,     1501.2,  1497.0008,        5011100,        7134060,        8346672
20191126,       1499,     1502.5,       1493,     1502.5,     1496.3,     1493.4,    1500.94,  1500.2587,       15359700,        7514960,        8445680
20191125,     1501.5,       1505,     1492.5,       1498,     1494.6,    1492.94,    1500.35,  1497.3562,        3972900,        5342960,        8173960
20191122,       1498,       1503,     1496.5,     1500.5,     1495.6,    1493.06,    1499.92,  1500.6274,        5012300,        5665420,        8285072
20191121,       1485,     1498.5,       1482,     1498.5,     1497.1,    1493.28,    1499.58,  1490.9094,        6314300,        6376100,        8413536
20191120,       1496,     1498.5,       1481,       1482,     1499.2,    1493.64,    1499.18,  1486.3954,        6915600,       10152080,        8432088
20191119,       1500,       1503,     1493.5,       1494,       1499,     1495.1,    1499.03,  1497.9258,        4499700,        9676600,        8628884
20191118,       1505,       1505,       1497,       1503,       1497,    1495.92,    1498.62,  1501.1998,        5585200,       10066520,        8714352
20191115,       1510,       1510,       1499,       1508,       1495,    1496.38,    1497.86,  1506.5956,        8565700,        9988840,        8915296
20191114,       1500,       1520,     1499.5,       1509,     1491.2,     1496.2,     1497.1,  1509.9732,       25194200,       10118400,        8839700
20191113,       1486,       1488,       1479,       1481,     1486.5,     1495.7,    1496.23,  1483.4887,        4538200,        8171760,        8081616
20191112,       1490,       1490,       1482,       1484,     1491.4,     1496.3,    1495.72,  1484.5171,        6449300,        9394100,        8254352
20191111,     1492.5,     1496.5,     1483.5,       1493,     1494.4,    1496.72,    1495.13,  1492.2012,        5196800,        9727540,        8285308
20191108,     1492.5,     1499.5,       1475,       1489,       1496,       1497,     1494.4,  1488.7771,        9213500,       10079400,        8417524
20191107,     1485.5,     1493.5,       1473,     1485.5,     1495.2,     1496.3,    1493.54,   1483.175,       15461000,        9801580,        8259848
20191106,       1509,       1513,     1499.5,     1505.5,     1498.7,    1495.44,    1492.72,  1505.3075,       10649900,       10192860,        8010748
20191105,     1500.5,       1506,       1493,       1499,     1496.3,     1494.6,    1491.74,   1498.139,        8116500,        9399540,        8223384
