日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20191230,        940,        942,        932,        935,      947.2,     938.52,     993.04,   935.4052,        5207800,        5811700,        7422888
20191227,        945,        950,        941,        945,      954.4,     938.52,     994.24,   945.1081,        5657600,        6384700,        7725720
20191226,        947,        952,        936,        940,        958,     938.44,     994.76,   941.1004,        6301900,        8151480,        7886752
20191225,        973,        973,        943,        947,      956.8,     939.48,     996.06,   953.1107,        6782000,        8500180,        8003700
20191224,        969,        978,        967,        969,      953.2,     940.84,     996.92,   970.8953,        5109200,        8609620,        8154832
20191223,        974,        979,        961,        971,      947.4,     940.32,     997.58,   969.5464,        8072800,        8671920,        8228384
20191220,        939,        964,        935,        963,      940.6,     939.28,     998.18,    955.048,       14491500,        8639760,        8208400
20191219,        922,        940,        919,        934,      934.6,     938.32,     998.69,   931.0225,        8045400,        7262880,        7987536
20191218,        936,        941,        925,        929,        934,     938.28,     998.96,   931.4594,        7329200,        7106960,        8638380
20191217,        946,        947,        933,        940,      933.2,     940.72,        999,   939.1985,        5420700,        6809140,        8715516
20191216,        931,        947,        930,        937,        929,     942.24,     999.72,   938.9825,        7912000,        7012220,        8849028
20191213,        941,        942,        931,        933,      925.2,      944.6,    1000.68,   936.0918,        7607100,        6549440,        8973744
20191212,        932,        941,        930,        931,      921.6,        948,    1001.73,    934.278,        7265800,        6773960,        9554596
20191211,        919,        929,        917,        925,        918,      953.4,    1002.85,   924.1098,        5840100,        7782760,        9581440
20191210,        918,        927,        913,        919,      919.8,      958.2,    1004.12,   920.3853,        6436100,        8512340,        9749540
20191209,        913,        918,        905,        918,      924.6,     962.84,    1005.53,   913.1696,        5598100,        8406660,        9738144
20191206,        909,        919,        900,        915,      929.4,     967.08,    1006.85,   909.4568,        8729700,        8641220,        9738496
20191205,        932,        933,        913,        913,      936.2,        972,    1008.13,   919.7177,       12309800,        8230760,        9542244
20191204,        940,        941,        927,        934,      944.8,        977,    1009.49,    933.126,        9488000,        7203100,        9255568
20191203,        933,        946,        932,        943,        945,      981.6,    1010.94,   940.4371,        5907700,        6386840,        9061268
20191202,        942,        948,        938,        942,      944.4,      985.2,    1012.26,   942.5514,        6770900,        7211940,        8969344
20191129,        966,        967,        946,        949,        943,      989.2,    1013.66,   955.7863,        6677400,        8413480,        8884824
20191128,        940,        957,        940,        956,      941.8,     992.96,    1014.84,   952.2264,        7171500,        9014680,        8903308
20191127,        937,        944,        935,        935,      943.8,     996.32,    1016.09,   938.0301,        5406700,        9425500,        8944980
20191126,        944,        959,        940,        940,        953,    1001.48,    1017.73,   947.8227,       10033200,       10456220,        8975748
20191125,        939,        948,        928,        935,      956.2,    1006.08,    1019.21,   935.0714,       12778600,        9839180,        8990844
20191122,        961,        962,        942,        943,      958.2,    1009.88,    1021.21,   947.1877,        9683400,        8798100,        8802444
20191121,        978,        979,        956,        966,      957.4,     1012.6,    1023.61,    965.729,        9225600,        8655400,        8708808
20191120,        964,        984,        962,        981,      950.8,    1014.24,    1025.61,   976.5622,       10560300,       11673580,        8681588
20191119,        943,        958,        942,        956,      952.6,    1015.36,    1028.08,   952.3217,        6948000,       11413040,        8503860
20191118,        940,        952,        933,        945,        957,    1017.64,    1030.45,   944.6964,        7573200,       11775140,        8575612
20191115,        930,        952,        929,        939,      967.2,    1020.48,    1032.82,   940.5083,        8969900,       12466480,        8538172
20191114,        956,        957,        925,        933,        983,    1024.68,    1035.44,   937.3925,       24316500,       15098180,        8369888
20191113,        971,        991,        964,        990,     1009.6,     1028.8,    1038.13,   979.3132,        9257600,       11822260,        7586328
20191112,        995,        995,        977,        978,     1020.6,    1030.12,    1040.02,   982.2224,        8758500,       11979260,        7456620
20191111,       1014,       1018,        992,        996,       1032,    1031.76,    1042.08,  1001.0271,       11029900,       11457800,        7484996
20191108,       1056,       1064,       1013,       1018,     1037.6,    1033.56,    1043.89,  1026.2608,       22128400,       10373200,        7596796
20191107,       1045,       1067,       1045,       1066,     1041.6,    1036.56,    1045.32,  1059.3327,        7936900,        6712200,        7074792
