日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20220214,       5110,       5130,       4875,       4930,       4888,     4964.2,    5308.86,   4969.606,         310900,         401500,         426580
20220210,       5090,       5100,       4985,       5070,       4880,     4978.2,     5317.4,  5058.2783,         517500,         405360,         425640
20220209,       4825,       4970,       4825,       4960,       4852,     4990.6,     5324.2,  4920.4089,         396200,         379880,         415492
20220208,       4770,       4795,       4685,       4715,       4876,     5011.4,    5333.26,  4730.0084,         419000,         406200,         410120
20220207,       4845,       4865,       4710,       4765,       4902,     5041.2,    5344.93,   4762.116,         363900,         448360,         401428
20220204,       4860,       4920,       4810,       4890,       4877,       5065,    5356.06,  4870.8934,         330200,         466500,         392736
20220203,       5080,       5140,       4905,       4930,       4809,     5086.2,     5366.2,  4980.3794,         390100,         491740,         389820
20220202,       4895,       5100,       4895,       5080,       4717,     5100.6,     5373.4,  5049.2838,         527800,         519080,         379476
20220201,       4980,       4980,       4775,       4845,       4618,     5111.4,     5377.4,  4858.3971,         629800,         506140,         361836
20220131,       4480,       4730,       4455,       4640,       4576,     5131.2,     5382.8,  4635.9327,         454600,         536000,         343476
20220128,       4535,       4595,       4480,       4550,       4641,     5156.8,    5391.33,  4546.5326,         456400,         543940,         332360
20220127,       4650,       4680,       4460,       4470,       4731,     5185.6,    5399.46,  4530.5979,         526800,         552340,         326244
20220126,       4620,       4660,       4555,       4585,       4841,     5212.4,    5407.33,  4600.0335,         463100,         553600,         321328
20220125,       4870,       4895,       4590,       4635,       4911,     5238.6,     5415.4,  4666.3182,         779100,         572580,         329228
20220124,       4900,       4985,       4875,       4965,       5048,     5267.6,    5422.66,  4937.8819,         494300,         472240,         308136
20220121,       4955,       5090,       4950,       5000,       5123,     5280.2,     5426.6,  5009.7552,         498400,         408020,         295848
20220120,       4975,       5160,       4965,       5020,       5173,       5293,    5430.46,  5045.6359,         533100,         392060,         292612
20220119,       5200,       5270,       4915,       4935,       5243,     5301.8,    5435.53,  5061.0197,         558000,         333140,         280448
20220118,       5360,       5430,       5280,       5320,       5326,     5312.4,    5443.46,  5345.0324,         277400,         280580,         269684
20220117,       5260,       5360,       5260,       5340,       5302,     5308.4,     5447.6,  5321.7725,         173200,         288260,         269100
20220114,       5270,       5290,       5210,       5250,       5292,     5309.6,     5451.6,  5251.9135,         418600,         312940,         279700
20220113,       5400,       5420,       5330,       5370,       5298,     5309.2,    5458.66,  5376.9895,         238500,         286700,         278444
20220112,       5260,       5370,       5230,       5350,       5300,       5300,    5463.33,  5325.9824,         295200,         291760,         280692
20220111,       5300,       5310,       5170,       5200,       5326,     5291.6,     5470.4,  5222.4541,         315800,         285100,         287384
20220107,       5390,       5410,       5220,       5290,       5378,     5287.6,     5481.6,  5297.7242,         296600,         262280,         298328
20220106,       5320,       5390,       5280,       5280,       5392,     5284.8,     5490.8,  5316.4475,         287400,         232280,         303296
20220105,       5480,       5480,       5360,       5380,       5420,     5285.6,    5499.73,  5404.3783,         263800,         226260,         327948
20220104,       5550,       5580,       5420,       5480,       5402,     5282.4,    5505.33,  5482.4093,         261900,         199800,         342252
20211230,       5340,       5490,       5330,       5460,       5376,     5275.6,     5507.2,  5444.3034,         201700,         164780,         355240
20211229,       5420,       5490,       5360,       5360,       5352,     5279.2,    5511.46,  5387.8172,         146600,         158600,         359656
20211228,       5390,       5450,       5370,       5420,       5336,     5286.4,    5514.26,  5412.8061,         257300,         164620,         376216
20211227,       5330,       5330,       5290,       5290,       5306,     5298.4,     5516.4,  5307.1331,         131500,         173860,         378728
20211224,       5350,       5360,       5320,       5350,       5276,     5317.6,    5518.53,  5340.4032,          86800,         228340,         398428
20211223,       5300,       5360,       5280,       5340,       5254,     5336.8,    5519.06,  5325.0351,         170800,         343100,         412716
20211222,       5260,       5300,       5210,       5280,       5258,     5361.6,    5519.33,  5260.2603,         176700,         359300,         422712
20211221,       5150,       5340,       5150,       5270,       5258,     5394.8,    5520.13,  5261.5222,         303500,         361380,         429480
20211220,       5230,       5250,       5080,       5140,       5268,     5425.2,    5519.73,   5136.098,         403900,         384180,         433728
20211217,       5310,       5400,       5220,       5240,       5288,       5458,       5520,  5273.5074,         660600,         349200,         426808
20211216,       5370,       5400,       5320,       5360,       5280,     5483.6,    5518.66,  5356.6442,         251800,         274860,         408632
20211215,       5280,       5390,       5260,       5280,       5252,       5500,    5514.26,  5303.2175,         187100,         277060,         409912
20211214,       5260,       5350,       5260,       5320,       5270,     5517.2,       5512,  5316.5557,         417500,         327280,         411752
20211213,       5260,       5310,       5230,       5240,       5254,     5538.4,    5508.66,  5247.1965,         229000,         321220,         405096
20211210,       5250,       5260,       5170,       5200,       5234,       5564,     5506.4,  5207.2966,         288900,         334360,         406100
20211209,       5300,       5350,       5220,       5220,       5222,     5590.4,     5503.4,   5265.118,         262800,         369080,         411628
20211208,       5540,       5540,       5300,       5370,       5198,     5605.2,    5497.93,  5401.2232,         438200,         434400,         413640
20211207,       5200,       5260,       5150,       5240,       5168,       5612,    5490.66,  5214.3673,         387200,         430920,         409208
20211206,       5140,       5160,       5090,       5140,       5180,     5626.4,     5486.4,   5128.059,         294700,         534220,         404412
20211203,       5190,       5200,       5080,       5140,       5212,     5642.4,       5483,  5137.7708,         462500,         599560,         405308
20211202,       5120,       5180,       5080,       5100,       5246,     5657.2,     5480.2,  5118.0556,         589400,         624380,         395504
20211201,       5260,       5280,       5130,       5220,       5336,     5671.2,    5479.66,  5218.8973,         420800,         568920,         381876
20211130,       5400,       5470,       5250,       5300,       5400,     5677.6,    5477.26,  5338.3977,         903700,         596880,         379528
20211129,       5280,       5430,       5280,       5300,       5484,     5688.4,    5474.46,  5329.3901,         621400,         480160,         354564
20211126,       5450,       5450,       5300,       5310,       5578,     5699.6,    5471.53,  5341.3484,         586600,         480680,         337800
20211125,       5630,       5650,       5530,       5550,       5682,     5712.8,    5468.73,  5577.3182,         312100,         452160,         327888
20211124,       5670,       5760,       5490,       5540,       5764,     5714.4,    5463.93,  5580.1962,         560600,         473880,         325336
20211122,       5710,       5730,       5610,       5720,       5878,     5716.8,    5457.26,  5691.4464,         320100,         430940,         312288
20211119,       5840,       5860,       5700,       5770,       5940,       5714,    5447.93,  5770.3429,         624000,         448860,         314356
20211118,       5880,       5900,       5780,       5830,       5978,       5702,    5437.66,  5846.8986,         444000,         370240,         299732
20211117,       6150,       6150,       5890,       5960,       5988,       5684,     5430.6,  5983.6677,         420700,         322680,         299824
20211116,       6010,       6140,       6010,       6110,       5950,     5655.6,    5423.26,  6100.5898,         345900,         295300,         295984
20211115,       5960,       6040,       5940,       6030,       5870,     5622.4,    5413.53,  5997.7178,         409700,         272740,         293524
20211112,       5840,       5970,       5820,       5960,       5834,     5587.6,       5407,  5939.2854,         230900,         241020,         288188
20211111,       5740,       5890,       5730,       5880,       5818,     5551.6,     5402.2,  5841.9787,         206200,         245660,         299124
20211110,       5750,       5880,       5740,       5770,       5814,       5524,    5395.53,   5806.124,         283800,         289840,         307244
20211109,       5950,       5950,       5680,       5710,       5778,     5500.4,    5390.06,  5759.1334,         233100,         295700,         308740
20211108,       5850,       5880,       5780,       5850,       5744,     5482.4,    5385.93,  5837.9928,         251100,         314560,         311736
